bnhm_id	ScientificName	ColloquialName	Kingdom	Phylum	Class	Subclass	Ordr	Suborder	Family	Superfamily	Subfamily	Tribe	Subtribe	Genus	Subgenus	SpecificEpithet	SubspecificEpithet	Taxon_Certainty	ScientificNameAuthor	IdentificationQualifier	IdentifiedBy	YearIdentified	MonthIdentified	DayIdentified	PreviousID	InstitutionCode	CollectionCode	CatalogNumberNumeric	AccessionNumber	Collector	Collector2	Collector3	Collector4	Collector5	CollectorNumber	YearCollected	MonthCollected	DayCollected	YearCollected2	MonthCollected2	DayCollected2	VerbatimCollectingLabel	VerbatimIDLabel	CollectingLabelNotes	TimeofDay	ContinentOcean	IslandGroup	Island	Country	StateProvince	County	Locality	DecimalLongitude	DecimalLatitude	HorizontalDatum	OriginalCoordSystem	VerbatimLongitude	VerbatimLatitude	MaxErrorInMeters	MinElevationMeters	MaxElevationMeters	ElevationText	MinDepthMeters	MaxDepthMeters	DepthText	GeorefReference	Lat_Long_Determined_By	Lat_Long_Determined_Date	GeorefRemarks	DateFirstEntered	EnteredBy	DateLastModified	ModifiedBy	ModifyReason	TypeStatus	Caste	LifeStage	IndividualCount	NumMales	NumFemales	NumOther	Parts	PreparationType	BasisOfRecord	Habitat	MicroHabitat	Associated_Taxon	Association_Type	OtherCatalogNumbers	RelatedCatalogItem	LoanNumber	Notes	DNASequenceNo	RecheckFlag	Collectors_Loc	Collectors_ID	HoldingInstitution	Coll_EventID	Collection_Method	parent_record	child_exists	ProjectName	
JPS8468	Bombus terricola		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		terricola										JPS		8468		J. R. Powers						2000	8	22											United States	North Dakota	Ransom - Richland County	1 mi SE of McLeod	-97.28028	46.38278	WGS1984				250.0000							unknown	Douglas Yanega	2015-12-30		2019-07-23	Douglas Yanega						adult	1		1			pin	PreservedSpecimen													Essig Museum of Entomology						
JPS8472	Bombus terricola		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		terricola										JPS		8472		J. R. Powers						2000	8	18											United States	North Dakota	Ransom - Richland County	1 mi SE of McLeod	-97.28028	46.38278	WGS1984				250.0000							unknown	Douglas Yanega	2015-12-30		2019-07-23	Douglas Yanega						adult	1		1			pin	PreservedSpecimen													Essig Museum of Entomology						
JPS8473	Bombus terricola		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		terricola										JPS		8473		J. R. Powers						2000	8	18											United States	North Dakota	Ransom - Richland County	1 mi SE of McLeod	-97.28028	46.38278	WGS1984				250.0000							unknown	Douglas Yanega	2015-12-30		2019-07-23	Douglas Yanega						adult	1		1			pin	PreservedSpecimen													Essig Museum of Entomology						
JPS8474	Bombus terricola		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		terricola										JPS		8474		J. R. Powers						2000	8	22											United States	North Dakota	Ransom - Richland County	1 mi SE of McLeod	-97.28028	46.38278	WGS1984				250.0000							unknown	Douglas Yanega	2015-12-30		2019-07-23	Douglas Yanega						adult	1		1			pin	PreservedSpecimen													Essig Museum of Entomology						
JPS8535	Bombus terricola		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		terricola										JPS		8535		J. R. Powers						2000	6	29											United States	North Dakota	Ransom County	7 mi SE of Sheldon	-97.49194	46.58750	WGS1984				2000.0000							unknown	Douglas Yanega	2015-12-30		2019-07-23	Douglas Yanega						adult	1		1			pin	PreservedSpecimen													Essig Museum of Entomology						
JPS8536	Bombus terricola		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		terricola										JPS		8536		J. R. Powers						2000	7	10											United States	North Dakota	Ransom - Richland County	1 mi SE of McLeod	-97.28028	46.38278	WGS1984				250.0000							unknown	Douglas Yanega	2015-12-30		2019-07-23	Douglas Yanega						adult	1		1			pin	PreservedSpecimen													Essig Museum of Entomology						
JPS8576	Bombus terricola		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		terricola										JPS		8576		J. R. Powers						2000	8	18											United States	North Dakota	Ransom - Richland County	1 mi SE of McLeod	-97.28028	46.38278	WGS1984				250.0000							unknown	Douglas Yanega	2015-12-30		2019-07-23	Douglas Yanega						adult	1		1			pin	PreservedSpecimen													Essig Museum of Entomology						
JPS8636	Bombus terricola		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		terricola										JPS		8636		J. R. Powers						2000	8	22											United States	North Dakota	Ransom - Richland County	1 mi SE of McLeod	-97.28028	46.38278	WGS1984				250.0000							unknown	Douglas Yanega	2015-12-30		2019-07-23	Douglas Yanega						adult	1		1			pin	PreservedSpecimen													Essig Museum of Entomology						
JPS8863	Bombus terricola		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		terricola										JPS		8863		J. R. Powers						2000	8	18											United States	North Dakota	Ransom - Richland County	1 mi SE of McLeod	-97.28028	46.38278	WGS1984				250.0000							unknown	Douglas Yanega	2015-12-30		2019-07-23	Douglas Yanega						adult	1	1				pin	PreservedSpecimen													Essig Museum of Entomology						
LACMENT3746	Bombus vosnesenskii		Animalia	Arthropoda	Insecta	Pterygota	Hymenoptera	Apocrita: Aculeata	Apidae	Apoidea	Apinae	Bombini		Bombus		vosnesenskii										LACMENT		3746								2000	7	3											United States	California	Tulare County	Kern River, Sequoia National Forest	-118.48500	35.97694	WGS1984				500.0000							unknown	Douglas Yanega	2015-12-30		2019-08-13	Douglas Yanega						adult	1		1			pin	PreservedSpecimen													Los Angeles County Museum						
