bnhm_id	ScientificName	ColloquialName	Kingdom	Phylum	Class	Subclass	Ordr	Suborder	Family	Superfamily	Subfamily	Tribe	Subtribe	Genus	Subgenus	SpecificEpithet	SubspecificEpithet	Taxon_Certainty	ScientificNameAuthor	IdentificationQualifier	IdentifiedBy	YearIdentified	MonthIdentified	DayIdentified	PreviousID	InstitutionCode	CollectionCode	CatalogNumberNumeric	AccessionNumber	Collector	Collector2	Collector3	Collector4	Collector5	CollectorNumber	YearCollected	MonthCollected	DayCollected	YearCollected2	MonthCollected2	DayCollected2	VerbatimCollectingLabel	VerbatimIDLabel	CollectingLabelNotes	TimeofDay	ContinentOcean	IslandGroup	Island	Country	StateProvince	County	Locality	DecimalLongitude	DecimalLatitude	HorizontalDatum	OriginalCoordSystem	VerbatimLongitude	VerbatimLatitude	MaxErrorInMeters	MinElevationMeters	MaxElevationMeters	ElevationText	MinDepthMeters	MaxDepthMeters	DepthText	GeorefReference	Lat_Long_Determined_By	Lat_Long_Determined_Date	GeorefRemarks	DateFirstEntered	EnteredBy	DateLastModified	ModifiedBy	ModifyReason	TypeStatus	Caste	LifeStage	IndividualCount	NumMales	NumFemales	NumOther	Parts	PreparationType	BasisOfRecord	Habitat	MicroHabitat	Associated_Taxon	Association_Type	OtherCatalogNumbers	RelatedCatalogItem	LoanNumber	Notes	DNASequenceNo	RecheckFlag	Collectors_Loc	Collectors_ID	HoldingInstitution	Coll_EventID	Collection_Method	parent_record	child_exists	ProjectName	
EMEC1000198	Lebia subdola		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Lebiinae	Lebiini	Lebiina	Lebia		subdola			Madge, 1967		K. Will	2002				EMEC		1000198		B. Smith						2000	1	12								North America			United States	Arizona	Santa Cruz County	Patagonia Mountains, Sycamore Canyon	-110.75029	31.38159	WGS1984				2932.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2014-07-10	Point placed at midpoint of linear element, error is half the extent	2013-03-08	Hoa Francisco Ngo	2014-07-15	Gordon M. Nishida					1					pin	PreservedSpecimen		debris											Essig Museum of Entomology						
EMEC1005260	Pterostichus lama		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		lama			(Menetries, 1843)		K.Will					EMEC		1005260		Kipling Will	Wendy Moore					2000	7	8				38 20 10 N 119 38 44 W USA, California, Alpine Co. 1.3km nw Sonora Pass, 2882m el. 8:vii:2000, Colls. K.Will,W.Moore				North America			United States	California	Alpine County	Sonora Pass, 1.3 kilometers northwest of	-119.64436	38.33627	WGS1984		119 38 44 W	38 20 10 N	500.0000	2882.0000						GeoLocate	Gordon M. Nishida	2015-05-13	Road miles, error is approximated extent of pass	2006-04-04	Kipling Will	2015-05-10	Gordon M. Nishida					1					fluid	PreservedSpecimen					KWW001								Essig Museum of Entomology						
EMEC1005857	Pterostichus lama		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		lama			(Menetries, 1843)		Will, K.	2011				EMEC		1005857								2000	7	9				Image	Pt. lama			North America			United States	California	Tuolumne County	Route 108, side road 1.2 miles west of Clark Fork Junction	-119.89780	38.34750	WGS1984		119 53 52 W	38 20 51 N	10.0000	1918.0000						original GPS	Kipling Will	2000-07-09		2011-12-05	Cindy Truong	2014-02-24	Kipling Will	Corrected by collector			adult	1	1				fluid	PreservedSpecimen												CAL09VII00.3	Essig Museum of Entomology						
EMEC1005881	Pterostichus hatchi		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		hatchi			Hacker, 1968		Will, K.				Leptoferonia hatchi	EMEC		1005881		Kipling Will	W. Moore					2000	7	9				Label				North America			United States	California	Tuolumne County	Route 108, at Leland Meadow Road	-119.99170	38.22500	WGS1984		119 59 30 W	38 13 30 N	10.0000							From label	Cindy Truong	2000-07-09		2012-01-20	Cindy Truong							1					pin	PreservedSpecimen													Essig Museum of Entomology						
EMEC1011867	Tetragnatha sp.		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		sp.										EMEC		1011867		Miquel A. Arnedo						2000	4	28								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Makaleha Mountains	-159.41189	22.11762	WGS1984				1646.0000	800.0000						GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-04-13	Centroid of polygon formed by contour level	2007-03-20	Rosemary Gillespie	2016-05-04	Gordon M. Nishida					4						PreservedSpecimen								1 female, 2 males					Essig Museum of Entomology						
EMEC1011868	Tetragnatha pilosa		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		pilosa			Gillespie, 1991							EMEC		1011868		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	5	4								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Puu La'au	-159.52500	22.11722	WGS1984				886.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-05-18	Variant for Puu Laau, point placed at summit, error is half the distance to nearest summit	2007-03-22	Rosemary Gillespie	2016-05-11	Gordon M. Nishida					22						PreservedSpecimen								Also a T. kauaiensis & Cyclosa sp					Essig Museum of Entomology						
EMEC1011869	Tetragnatha pilosa		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		pilosa			Gillespie, 1991							EMEC		1011869		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	5	6								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Mount Kahili, below radio station	-159.49590	21.97341	WGS1984				318.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-05-18	Point placed at building, error is arbitrary	2007-03-22	Rosemary Gillespie	2016-05-06	Gordon M. Nishida					4						PreservedSpecimen								Also a T. kauaiensis & Cyclosa sp					Essig Museum of Entomology						
EMEC1011870	Tetragnatha pilosa		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		pilosa			Gillespie, 1991							EMEC		1011870		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	4	28								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Makaleha Mountains	-159.41278	22.11806	WGS1984				6536.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-04-13	Error is approximated extent of named place	2007-03-22	Rosemary Gillespie	2016-05-04	Gordon M. Nishida					7						PreservedSpecimen													Essig Museum of Entomology						
EMEC1011871	Tetragnatha sp.		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		sp.										EMEC		1011871		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	4	28								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Makaleha Mountains	-159.41278	22.11806	WGS1984				6536.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-04-13	Error is approximated extent of named place	2007-03-22	Rosemary Gillespie	2016-05-04	Gordon M. Nishida					3						PreservedSpecimen								1 female. Also 2 Misumenops					Essig Museum of Entomology						
EMEC1011879	Tetragnatha sp.		Animalia	Arthropoda	Arachnida		Araneae		Tetragnathidae					Tetragnatha		sp.										EMEC		1011879		Miquel A. Arnedo	Gustavo Hormiga	Ingi Agnarsson				2000	5	9								Pacific Ocean	Hawaiian Islands	Kauai	United States	Hawaii	Kauai County	Waialae Camp	-159.58596	22.08253	WGS1984				65.0000	1100.0000						Google Search+GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-05-18	Assumed Wai?alae Cabin, error is approximated extent of named place	2007-03-26	Rosemary Gillespie	2016-05-11	Gordon M. Nishida					12						PreservedSpecimen								Elongate forest, 1 females, 3 males. Also Thomisidae, Cyclosa					Essig Museum of Entomology						
EMEC1012614	Rhyncogonus saltus		Animalia	Arthropoda	Insecta		Coleoptera		Curculionidae		Entiminae	Rhyncogonini		Rhyncogonus		saltus										EMEC		1012614		V. Costello						2000	12	1								Pacific Ocean	Hawaiian Islands	Oahu	United States	Hawaii	Honolulu County	Kolekole, Puu Hapapa	-158.10414	21.46761	WGS1984				1316.0000	900.0000						GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-04-13	Variant for Pu?uhapapa, point placed at summit, error extended to Kolekole Pass; elevation does not quite coincide, summit is at 2877'	2007-10-09	Elin M. Claridge	2016-04-21	Gordon M. Nishida					1						PreservedSpecimen													University of California Berkeley, Gump Research Station						
EMEC1012704	Hololena sp.		Animalia	Arthropoda	Arachnida		Araneae		Agelenidae					Hololena		sp.					J. Spagna					EMEC		1012704		Joseph C. Spagna						2000	5	27				Hololena sp. Claremont CA 5/27/00 J. Spagna				North America			United States	California	Los Angeles County	Claremont	-117.71429	34.12709	WGS1984				5431.0000							GeoLocate	Gordon M. Nishida	2016-08-17	Centroid of polygon of named place	2007-12-18	Hannah Wood	2016-08-12	Gordon M. Nishida				adult	1		1			fluid	PreservedSpecimen													Essig Museum of Entomology					Joe Spagna Molecular Vouchers	
EMEC1012716	undetermined sp.		Animalia	Arthropoda	Arachnida		Araneae		undetermined					undetermined		sp.										EMEC		1012716		Joseph C. Spagna						2000	2	9				CA: Sacramento, Sac. Co. S. of Riverside Dr. "the pocket" 9/II/2000 J. Spagna coll extraction 1 5				North America			United States	California	Sacramento County	Sacramento, Pocket area south of Riverside Drive	-121.52642	38.49524	WGS1984				2340.0000							GeoLocate	Gordon M. Nishida	2015-04-22	Error is approximated extent of named place	2007-12-20	Hannah Wood	2015-04-25	Gordon M. Nishida				adult	1		1			fluid	PreservedSpecimen									15				Essig Museum of Entomology					Joe Spagna Molecular Vouchers	
EMEC1012726	undetermined sp.		Animalia	Arthropoda	Arachnida		Araneae		undetermined					undetermined		sp.										EMEC		1012726		M. Myers						2000	4	7				CA: Santa Cruz Island 4/7/00 Campo Raton coll. M. Myers				North America		Santa Cruz	United States	California	Santa Barbara County	Santa Cruz Island, Campo Raton	-119.81211	34.01706	WGS1984				100.0000							Google Search+Acme Mapper+GeoLocate	Gordon M. Nishida	2013-05-30	Error is approximated extent of named place	2007-12-20	Hannah Wood	2008-02-25	Gordon M. Nishida					2					fluid	PreservedSpecimen													Essig Museum of Entomology					Joe Spagna Molecular Vouchers	
EMEC1070265	Priacma serrata		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Archostemmata	Cupedidae					Priacma		serrata			(LeConte, 1874)							EMEC		1070265		J. Powell						2000	6	26								North America			United States	California	Siskiyou County	Mount Shasta	-122.19535	41.41241	WGS1984				10181.0000	1830.0000						GeoLocate	Gordon M. Nishida	2015-07-15	Centroid of polygon formed by contour line	2014-10-13	Skyler Valle	2015-07-27	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology						
EMEC1070266	Priacma serrata		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Archostemmata	Cupedidae					Priacma		serrata			(LeConte, 1874)							EMEC		1070266		J. Powell						2000	6	26								North America			United States	California	Siskiyou County	Mount Shasta	-122.19535	41.41241	WGS1984				10181.0000	1830.0000						GeoLocate	Gordon M. Nishida	2015-07-15	Centroid of polygon formed by contour line	2014-10-13	Skyler Valle	2015-07-27	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology						
EMEC1070277	Priacma serrata		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Archostemmata	Cupedidae					Priacma		serrata			(LeConte, 1874)							EMEC		1070277		S. E. Haskins						2000	5	27								North America			United States	California	Tuolumne County	Ackerson Creek	-119.82365	37.84034	WGS1984				5070.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2017-02-15	Point placed at midpoint of linear element, error is half the extent	2014-10-13	Skyler Valle	2017-02-15	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology						
EMEC1070278	Priacma serrata		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Archostemmata	Cupedidae					Priacma		serrata			(LeConte, 1874)		S.E. Haskins	2000			Cupes lobiceps	EMEC		1070278		S. E. Haskins						2000	6	16								North America			United States	California	Lake County	Oat Hill Road	-122.53332	38.70788	WGS1984				1852.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2014-11-12	Point placed at midpoint of linear element within county, error is half the extent	2014-10-13	Skyler Valle	2014-11-14	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology		Ultraviolet light				
EMEC1073265	undetermined sp.		Animalia	Arthropoda	Insecta		Coleoptera		Phengodidae					undetermined		sp.										EMEC		1073265		J. Powell						2000	6	23								North America			United States	Oregon	Josephine County	Rogue College, southwest of Grants Pass	-123.39288	42.41314	WGS1984				320.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-01-20	Variant name for Rogue Community College, error is approximated extent of named place	2015-04-22	Skyler Valle	2016-01-13	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology		blacklight trap				
EMEC1073266	undetermined sp.		Animalia	Arthropoda	Insecta		Coleoptera		Phengodidae					undetermined		sp.										EMEC		1073266		J. Powell						2000	6	23								North America			United States	Oregon	Josephine County	Rogue College, southwest of Grants Pass	-123.39288	42.41314	WGS1984				320.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-01-20	Variant name for Rogue Community College, error is approximated extent of named place	2015-04-22	Skyler Valle	2016-01-13	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology		blacklight trap				
EMEC1073267	undetermined sp.		Animalia	Arthropoda	Insecta		Coleoptera		Phengodidae					undetermined		sp.										EMEC		1073267		J. Powell						2000	6	23								North America			United States	Oregon	Josephine County	Rogue College, southwest of Grants Pass	-123.39288	42.41314	WGS1984				320.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-01-20	Variant name for Rogue Community College, error is approximated extent of named place	2015-04-22	Skyler Valle	2016-01-13	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology		blacklight trap				
EMEC1073268	undetermined sp.		Animalia	Arthropoda	Insecta		Coleoptera		Phengodidae					undetermined		sp.										EMEC		1073268		J. Powell						2000	6	23								North America			United States	Oregon	Josephine County	Rogue College, southwest of Grants Pass	-123.39288	42.41314	WGS1984				320.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2016-01-20	Variant name for Rogue Community College, error is approximated extent of named place	2015-04-22	Skyler Valle	2016-01-13	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology		blacklight trap				
EMEC1073280	undetermined sp.		Animalia	Arthropoda	Insecta		Coleoptera		Phengodidae					undetermined		sp.										EMEC		1073280		J. Powell						2000	5	20								North America			United States	California	Marin County	Inverness Ridge, west of Drakes View	-122.85403	38.07474	WGS1984				143.0000	300.0000						GeoLocate	Gordon M. Nishida	2016-10-19	Point and error radius arbitrary	2015-04-22	Skyler Valle	2016-11-01	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology		blacklight				
EMEC1073281	undetermined sp.		Animalia	Arthropoda	Insecta		Coleoptera		Phengodidae					undetermined		sp.										EMEC		1073281		J. Powell						2000	5	20								North America			United States	California	Marin County	Inverness Ridge, west of Drakes View	-122.85403	38.07474	WGS1984				143.0000	300.0000						GeoLocate	Gordon M. Nishida	2016-10-19	Point and error radius arbitrary	2015-04-22	Skyler Valle	2016-11-01	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology		blacklight				
EMEC1073282	undetermined sp.		Animalia	Arthropoda	Insecta		Coleoptera		Phengodidae					undetermined		sp.										EMEC		1073282		J. Powell						2000	5	20								North America			United States	California	Marin County	Inverness Ridge, west of Drakes View	-122.85403	38.07474	WGS1984				143.0000	300.0000						GeoLocate	Gordon M. Nishida	2016-10-19	Point and error radius arbitrary	2015-04-22	Skyler Valle	2016-11-01	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology		blacklight trap				
EMEC1073290	undetermined sp.		Animalia	Arthropoda	Insecta		Coleoptera		Phengodidae					undetermined		sp.										EMEC		1073290		Powell	J. Herbeck	D. Rubinoff				2000	7	10								North America			United States	California	Siskiyou County	Castle Lake	-122.37890	41.23677	WGS1984				359.0000	1585.0000						GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2014-06-18	Point placed at contour line, error is extent of named place	2015-04-22	Skyler Valle	2017-02-03	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology		blacklight				
EMEC1137800	Platynus cazieri		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae			Platynini		Platynus		cazieri			Liebherr and Will, 1996		K.Will	2016				EMEC		1137800		Kipling Will						2000	6	26				USA.Arizona,Sta.Cruz Co. vic. Pena Blanca Lake 26:VI:2000, Coll.K.Will				North America			United States	Arizona	Santa Cruz County	vic. Pena Blanca Lake	-111.08417	31.40194	WGS1984		111 05 03 W	31 24 07 N	500.0000	1200.0000						Acme Mapper, collector	Kipling Will	2016-05-30		2016-06-30	Kipling Will	2016-07-08	Peter T. Oboyski	deaccessioned (gift)				1						PreservedSpecimen								Specimen gifted to Peter Messer (Milwaukee Public Museum) July 2016					Essig Museum of Entomology						
EMEC1159325	Pleocoma behrensii		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Polyphaga: Scarabaeiformia	Pleocomidae	Scarabaeoidea				Pleocoma		behrensii			LeConte, 1874							EMEC		1159325		B. Daly						2000	10	29								North America			United States	California	Alameda County	North Berkeley	-122.27017	37.89395	WGS1984				1559.0000							GeoLocate	Gordon M. Nishida	2016-11-16	Assumed northern section of city, point and error radius arbitrary	2016-11-28	Claire Jurgensen	2016-11-28	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology						
EMEC19433	Ixodes (Ixodiopsis) angustus		Animalia	Arthropoda	Arachnida	Acari	Ixodida		Ixodidae					Ixodes	Ixodiopsis	angustus			Neumann, 1899		Joyce Kleinjan					EMEC		19433		Lucia T. Hui						2000	4	18				Calif ex P. truei Inyo co. Sage Flat 4-18-2000 Col Lucia Hui	Re done I. angustus larvae			North America			United States	California	Inyo County	Sage Flat	-118.38570	37.12430	WGS1984				678.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2014-10-22	Two flats with same name in county, assumed one near campground, error is approximated extent of named place	2006-03-16	Joyce Kleinjan	2014-10-27	Gordon M. Nishida				larva	5					slide	PreservedSpecimen			Peromyscus truei										Essig Museum of Entomology						
EMEC19434	Ixodes (Ixodiopsis) angustus		Animalia	Arthropoda	Arachnida	Acari	Ixodida		Ixodidae					Ixodes	Ixodiopsis	angustus			Neumann, 1899		Joyce Kleinjan					EMEC		19434		Lucia T. Hui						2000	4	18				Calif ex P. truei Inyo co. Sage Flat 4-18-2000 Col Lucia Hui	Lucia Hui I. angustus Pict. 1-30- 05 good larvae			North America			United States	California	Inyo County	Sage Flat	-118.38570	37.12430	WGS1984				678.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2014-10-22	Two flats with same name in county, assumed one near campground, error is approximated extent of named place	2006-03-16	Joyce Kleinjan	2014-10-27	Gordon M. Nishida				larva	5					slide	PreservedSpecimen			Peromyscus truei										Essig Museum of Entomology						
EMEC19546	Ixodes spinipalpis		Animalia	Arthropoda	Arachnida	Acari	Ixodida		Ixodidae					Ixodes		spinipalpis			Hadwen & Nuttall, 1916		J. Kleinjan					EMEC		19546								2000	3	25				USA CALIF Mendocino co. Hopland Field Station Ixodes spinipalpis reared	HFS I. spini larvae lot put on Nf 10-20-00 Adult 3-25-00			North America			United States	California	Mendocino County	Hopland Field Station	-123.08095	39.01318	WGS1984				3737.0000							Google Search+GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2015-03-11	Centroid of polygon of named place	2007-02-20	Joyce Kleinjan	2015-03-02	Gordon M. Nishida				larva	3					slide	PreservedSpecimen													Essig Museum of Entomology		reared				
EMEC201012	Pterostichus lama		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		lama			(Menetries, 1843)		Will, K.	2007				EMEC		201012		Kipling Will	W. Moore					2000	7	9				Image				North America			United States	California	Tuolumne County	Route 108, at Leland Meadow Road	-119.99170	38.22500	WGS1984		119 59 30 W	38 13 30 N	10.0000							From label	Cindy Truong	2000-07-09		2011-10-12	Cindy Truong						adult	1					pin	PreservedSpecimen													Essig Museum of Entomology						
EMEC204927	Ecclisomyia maculosa		Animalia	Arthropoda	Insecta	Pterygota	Trichoptera		Limnephilidae	Limnephiloidea	Dicosmoecinae			Ecclisomyia		maculosa		?	Banks, 1907		M Myers				May also be E. simulata	EMEC		204927		Daniel Rubinoff						2000	6	26				OR: Jackson Co. Mt Ashland Bull Cmpd. VI-26-00 BL D. Rubinoff	Ecclisomyia maculosa 1M det. M. Myers			North America			United States	Oregon	Jackson County	Mount Ashland	-122.71722	42.08083	WGS1984				9444.0000							GeoLocate	Gordon M. Nishida	2016-01-20	Point placed at summit, error is approximated extent of named place	2012-02-20	Peter T. Oboyski	2016-01-06	Gordon M. Nishida				adult	1	1				fluid	PreservedSpecimen													Essig Museum of Entomology		ultraviolet light				
EMEC204929	Ecclisomyia maculosa		Animalia	Arthropoda	Insecta	Pterygota	Trichoptera		Limnephilidae	Limnephiloidea	Dicosmoecinae			Ecclisomyia		maculosa		?	Banks, 1907		M Myers	2000			May also be E. simulata	EMEC		204929		Jerry A. Powell						2000	6	24				CA: Siskiyou Co. Castle Lk. VI-24-00 BL J. Powell	Ecclisomyia maculosa 2M det. M. Myers 00			North America			United States	California	Siskiyou County	Castle Lake	-122.38304	41.22718	WGS1984				359.0000							GNIS+AcmeMapper+GeoLocate	Gordon M. Nishida	2013-04-03	Centroid of polygon of named place	2012-02-20	Peter T. Oboyski	2014-06-20	Gordon M. Nishida				adult	2	2				fluid	PreservedSpecimen													Essig Museum of Entomology		ultraviolet light				
EMEC207656	Pterostichus lama		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		lama			(Menetries, 1843)		K. Will	2008				EMEC		207656		Kipling Will	W. Moore					2000	7	9								North America			United States	California	Alpine County	Sonora Pass	-119.63580	38.33110	WGS1984		119 38 9 W	38 19 52 N	10.0000	2159.0000						GPS	Kevin Z. Yao	2012-03-25		2012-03-25	Kevin Z. Yao	2012-04-04	Kevin Z. Yao				adult	1		1		voucher DNA kww001	fluid	PreservedSpecimen								Will study region e 8	EU142367, EU142506, EU142646				Essig Museum of Entomology						
EMEC207700	Metrius contractus		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Paussinae	Metriini		Metrius		contractus			Eschscholtz, 1829							EMEC		207700		S. E. Haskins						2000	3	10								North America			United States	California	Contra Costa County	Moraga	-122.12196	37.84408	WGS1984				3737.0000							GeoLocate	Gordon M. Nishida	2016-08-17	Centroid of polygon of named place	2014-04-27	Notes from Nature	2016-08-17	Gordon M. Nishida				adult	1					pin	PreservedSpecimen													Essig Museum of Entomology						
EMEC207701	Metrius contractus		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Paussinae	Metriini		Metrius		contractus			Eschscholtz, 1829							EMEC		207701		S. E. Haskins						2000	3	10								North America			United States	California	Contra Costa County	Moraga	-122.12196	37.84408	WGS1984				3737.0000							GeoLocate	Gordon M. Nishida	2016-08-17	Centroid of polygon of named place	2014-07-01	W. Moore	2016-08-17	Gordon M. Nishida					1						PreservedSpecimen													Essig Museum of Entomology						
EMEC208924	Pterostichus hatchi		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		hatchi			Hacker, 1968		Kipling Will	2012				EMEC		208924		Kipling Will	Wendy Moore					2000	7	9								North America			United States	California	Tuolumne County	Route 108, 1.2 miles west of Clark Fork Junction, side road	-119.89780	38.34750	WGS1984		119 53 52 W	38 20 51 N	10.0000	1918.0000						GPS	Kipling Will	2000-07-09		2012-04-27	Maggie Lewis						adult	1					pin	PreservedSpecimen												Cal9.vii.00.4	Essig Museum of Entomology	9713					
EMEC208925	Pterostichus hatchi		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		hatchi			Hacker, 1968		Kipling Will	2012				EMEC		208925		Kipling Will	Wendy Moore					2000	7	9								North America			United States	California	Tuolumne County	Route 108, 1.2 miles west of Clark Fork Junction, side road	-119.89780	38.34750	WGS1984		119 53 52 W	38 20 51 N	10.0000	1918.0000						GPS	Kipling Will	2000-07-09		2012-04-27	Maggie Lewis						adult	1					pin	PreservedSpecimen												Cal9.vii.00.4	Essig Museum of Entomology	9713					
EMEC208926	Pterostichus hatchi		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		hatchi			Hacker, 1968		Kipling Will	2012				EMEC		208926		Kipling Will	Wendy Moore					2000	7	9								North America			United States	California	Tuolumne County	Route 108, 1.2 miles west of Clark Fork Junction, side road	-119.89780	38.34750	WGS1984		119 53 52 W	38 20 51 N	10.0000	1918.0000						GPS	Kipling Will	2000-07-09		2012-04-27	Maggie Lewis						adult	1					pin	PreservedSpecimen												Cal9.vii.00.4	Essig Museum of Entomology	9713					
EMEC208927	Pterostichus hatchi		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		hatchi			Hacker, 1968		Kipling Will	2012				EMEC		208927		Kipling Will	Wendy Moore					2000	7	9								North America			United States	California	Tuolumne County	Route 108, 1.2 miles west of Clark Fork Junction, side road	-119.89780	38.34750	WGS1984		119 53 52 W	38 20 51 N	10.0000	1918.0000						GPS	Kipling Will	2000-07-09		2012-04-27	Maggie Lewis						adult	1					pin	PreservedSpecimen												Cal9.vii.00.4	Essig Museum of Entomology	9713					
EMEC208928	Pterostichus hatchi		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		hatchi			Hacker, 1968		Kipling Will	2012				EMEC		208928		Kipling Will	Wendy Moore					2000	7	9								North America			United States	California	Tuolumne County	Route 108, 1.2 miles west of Clark Fork Junction, side road	-119.89780	38.34750	WGS1984		119 53 52 W	38 20 51 N	10.0000	1918.0000						GPS	Kipling Will	2000-07-09		2012-04-27	Maggie Lewis						adult	1					pin	PreservedSpecimen												Cal9.vii.00.4	Essig Museum of Entomology	9713					
EMEC208929	Pterostichus hatchi		Animalia	Arthropoda	Insecta	Pterygota	Coleoptera	Adephaga	Carabidae		Pterostichinae	Pterostichini	Pterostichina	Pterostichus		hatchi			Hacker, 1968		Kipling Will	2012				EMEC		208929		Kipling Will	Wendy Moore					2000	7	9								North America			United States	California	Tuolumne County	Route 108, 1.2 miles west of Clark Fork Junction, side road	-119.89780	38.34750	WGS1984		119 53 52 W	38 20 51 N	10.0000	1918.0000						GPS	Kipling Will	2000-07-09		2012-04-27	Maggie Lewis						adult	1					pin	PreservedSpecimen												Cal9.vii.00.4	Essig Museum of Entomology	9713					
